beınsport-beın sport
bayangibi-bayan gibi
smartbankoda-smart bankoda
tümiş-tüm iş
gunship-gun ship
sarısarı-sarı sarı
gençyaşlı-genç yaşlı
avcılarspor-avcılar spor
louistomlinson-louis tomlinson
musadağı-musa dağı
nedirböyle-nedir böyle
yanibiraz-yani biraz
hzpeygambere-hz peygambere
babalarvar-babalar var
hacışerif-hacı şerif
acilserviste-acil serviste
gerizekalıembesil-gerizekalı embesil
katlıkavşağı-katlı kavşağı
kendimeben-kendime ben
kontrapedal-kontra pedal
hhızı-h hızı
köşeyazım-köşe yazım
çıplakçocuk-çıplak çocuk
katılıyorumarkadaşım-katılıyorum arkadaşım
diyorlarki-diyorlar ki
sochic-so chic
yaylakent-yayla kent
deviriçin-devir için
freelance-free lance
canımkızım-canım kızım
thetruth-the truth
borçkriziyle-borç kriziyle
bangırbangır-bangır bangır
azbuz-az buz
şunuder-şunu der
üsttarafta-üst tarafta
suriyeordusunun-suriye ordusunun
gelengiden-gelen giden
sencenormal-sence normal
sekizincikatta-sekizinci katta
kısmınınaltında-kısmının altında
gözyummuş-göz yummuş
smsmi-sms mi
ulaşımaraçları-ulaşım araçları
sokakarası-sokak arası
çinhindistan-çin hindistan
gözyumduğunu-göz yumduğunu
porscheve-porsche ve
kaplanhakkında-kaplan hakkında
ağakapısı-ağa kapısı
engeniş-en geniş
bilinçakışının-bilinç akışının
ikiadım-iki adım
şamşeytanı-şam şeytanı
ekprim-ek prim
sevdiğindendaha-sevdiğinden daha
çocukkendi-çocuk kendi
çoksevindim-çok sevindim
azizistanbul-aziz istanbul
imamhatiplik-imam hatiplik
radarkarıştırıcı-radar karıştırıcı
adımama-adım ama
sınavgibi-sınav gibi
isedün-ise dün
gelinbaşı-gelin başı
tenceza-ten ceza
şehiristanbul-şehir istanbul
eleveren-ele veren
sosyalpolitikalar-sosyal politikalar
mehmetaltan-mehmet altan
inanbuna-inan buna
alfanümerik-alfa nümerik
kelali-kel ali
zatenonlar-zaten onlar
kırsaç-kır saç
anzaten-an zaten
yerdemi-yerde mi
bigün-bi gün
wclerinde-wc lerinde
alicandemir-alican demir
varbir-var bir
albayrağın-al bayrağın
tıklayınıztürkiye-tıklayınız türkiye
ydsacademy-yds academy
bilmemneye-bilmem neye
bilmemneyi-bilmem neyi
yavrumsen-yavrum sen
yamukprenses-yamuk prenses
sayfasındakitanıtım-sayfasındaki tanıtım
bilaf-bi laf
festivalininolduğu-festivalinin olduğu
mylord-my lord
magiçin-mag için
abimmi-abim mi
jetkasa-jet kasa
öncebaşka-önce başka
katmadeğerdir-katma değerdir
tenisturnuvasında-tenis turnuvasında
ldaha-l daha
veiyi-ve iyi
kelahmet-kel ahmet
kötükötü-kötü kötü
teklifve-teklif ve
adalovelace-ada lovelace
adamlarolarak-adamlar olarak
antitürk-anti türk
taejun-tae jun
sackesimi-sac kesimi
breakdansçı-break dansçı
görenbilen-gören bilen
•bütün-• bütün
lastweek-last week
pişmanolsun-pişman olsun
içinönce-için önce
güniki-gün iki
allshare-all share
tinermi-tiner mi
özamcası-öz amcası
bunainanıyorum-buna inanıyorum
dünyayıolduğu-dünyayı olduğu
benibekliyor-beni bekliyor
azıdiş-azı diş
sukjong-suk jong
bağmı-bağ mı
emirel-emir el
gibiyeni-gibi yeni
insanıdaha-insanı daha
liderinicumhurbaşkanı-liderini cumhurbaşkanı
bilinçakışına-bilinç akışına
ışıkhuzmesi-ışık huzmesi
vurmadiye-vurma diye
nammı-nam mı
ahmethaşim-ahmet haşim
uykunundüzene-uykunun düzene
götyalayıcı-göt yalayıcı
soyou-so you
katmadeğer-katma değer
bigöz-bi göz
kocagün-koca gün
hatuntaş-hatun taş
günütatil-günü tatil
atatürkübu-atatürkü bu
izaten-i zaten
gayrımenkuller-gayrı menkuller
sarajane-sara jane
ölüyok-ölü yok
yürürlüktarihinden-yürürlük tarihinden
istiyorlarki-istiyorlar ki
birandmı-birand mı
günleriiple-günleri iple
degeçerli-de geçerli
önsağ-ön sağ
erkeklerartık-erkekler artık
varben-var ben
olmadıktansonra-olmadıktan sonra
baştasarımcısı-baş tasarımcısı
andyar-andy ar
balşeker-bal şeker
okumayazma-okuma yazma
kılıçartığı-kılıç artığı
havayakaldır-havaya kaldır
yamaçevleri-yamaç evleri
esraceyda-esra ceyda
olsundedim-olsun dedim
çiçekalan-çiçek alan
göretürk-göre türk
olsundedik-olsun dedik
tbmmi-tbm mi
komünizmmi-komünizm mi
kurtderesi-kurt deresi
merkezive-merkezi ve
sevgiyumağı-sevgi yumağı
emrahiş-emrah iş
yüzgerme-yüz germe
bedeneğitim-beden eğitim
incimaddesinde-inci maddesinde
pilise-pil ise
nihatsırdar-nihat sırdar
dahiltüm-dahil tüm
özyeğeni-öz yeğeni
gençhanım-genç hanım
şenbu-şen bu
isayıldız-isa yıldız
rubleve-ruble ve
eğitimşart-eğitim şart
onuyeniden-onu yeniden
rachelise-rachel ise
yolbakım-yol bakım
martbaşı-mart başı
cumhurbaşkanımursi-cumhurbaşkanı mursi
diyarbakırdamı-diyarbakırda mı
yapabilirizdiye-yapabiliriz diye
incedüşünceli-ince düşünceli
bukarar-bu karar
wordpuan-word puan
neylersegüzel-neylerse güzel
ulaşmasıiçin-ulaşması için
italyayagidiyor-italyaya gidiyor
gaymiyim-gay miyim
siyahkuşak-siyah kuşak
şehitiçin-şehit için
zekageriliği-zeka geriliği
vadisimi-vadisi mi
hisbir-his bir
kuniyi-kun iyi
bacakarasındaki-bacak arasındaki
bentek-ben tek
belçantası-bel çantası
dedoğru-de doğru
fikirbabaları-fikir babaları
sportifdirektör-sportif direktör
kürkçühan-kürkçü han
ekşisözlükten-ekşi sözlükten
etmeolayı-etme olayı
onunbüyük-onun büyük
sırtçantanı-sırt çantanı
ayındaise-ayında ise
bulamadıkdiye-bulamadık diye
artıkbiraz-artık biraz
çadırkente-çadır kente
atıksuyunu-atık suyunu
çadırkenti-çadır kenti
sağoldostum-sağol dostum
olmalıbence-olmalı bence
gelmedimi-gelmedi mi
evçok-ev çok
akşamdaha-akşam daha
kaossüreci-kaos süreci
kitapoku-kitap oku
kazovaişçileri-kazova işçileri
kellymi-kelly mi
dolayısıylave-dolayısıyla ve
yüzyüzedir-yüz yüzedir
izindeolmak-izinde olmak
sahilyolları-sahil yolları
geriödeme-geri ödeme
afdileme-af dileme
imamrıza-imam rıza
günügününe-günü gününe
gerekiyordiye-gerekiyor diye
merkezihakkında-merkezi hakkında
kalantürk-kalan türk
etsuyunu-et suyunu
öntarafındaki-ön tarafındaki
seninyerinde-senin yerinde
şeklihakkında-şekli hakkında
bölgelerindeyaşayan-bölgelerinde yaşayan
blueprint-blue print
ailelerbirbirlerine-aileler birbirlerine
olanlaroldu-olanlar oldu
oldundedi-oldun dedi
mavive-mavi ve
aüdtcf-aü dtcf
kapatınuyarısı-kapatın uyarısı
sapol-sap ol
justcause-just cause
demirparmaklıklarla-demir parmaklıklarla
sehirdisinda-sehir disinda
dahiç-da hiç
bentam-ben tam
akpbunu-akp bunu
gördüve-gördü ve
kazmadişli-kazma dişli
dragonfly-dragon fly
çatlakoldu-çatlak oldu
bebekmi-bebek mi
merhabader-merhaba der
ttarenada-tt arenada
rayray-ray ray
eeevet-ee evet
yıldızgeçidi-yıldız geçidi
jeanbernard-jean bernard
çıkmışbir-çıkmış bir
kararveremedim-karar veremedim
bluemonday-blue monday
miniseri-mini seri
bilgileriverdi-bilgileri verdi
yakışmıyordedim-yakışmıyor dedim
ancakbana-ancak bana
dokuzsekiz-dokuz sekiz
beyindalgaları-beyin dalgaları
özürdilemelisin-özür dilemelisin
haloluyor-hal oluyor
hamuriçi-hamur içi
kaçmetre-kaç metre
kızlarerkekler-kızlar erkekler
allstarda-all starda
pazarcıamca-pazarcı amca
lightboost-light boost
açıkolsa-açık olsa
temsilettiğini-temsil ettiğini
değilimdiye-değilim diye
çamlıktepe-çamlık tepe
mahkûmmu-mahkûm mu
evetveya-evet veya
etkisiyapıyor-etkisi yapıyor
çayocağını-çay ocağını
nefesdarlığı-nefes darlığı
yarımyağlı-yarım yağlı
şehirparkı-şehir parkı
tahsilet-tahsil et
devrimciche-devrimci che
yedeğil-ye değil
satal-sat al
suçortakları-suç ortakları
canverecek-can verecek
bylock-by lock
bıton-bı ton
mirasen-mira sen
ttarenadan-tt arenadan
yokbir-yok bir
bendekullanıyorum-bende kullanıyorum
numutlu-nu mutlu
elazığbelediye-elazığ belediye
karaköykabataş-karaköy kabataş
hakanali-hakan ali
bulamadımlink-bulamadım link
yapıyormu-yapıyor mu
ebağlı-e bağlı
sabırtaşının-sabır taşının
allahyardımcın-allah yardımcın
hyunsung-hyun sung
beniyi-ben iyi
katolikmi-katolik mi
gökçenhavalimanlarından-gökçen havalimanlarından
öyledeğilmi-öyle değilmi
şöförmü-şöför mü
diğeryanda-diğer yanda
tanıtmakiçin-tanıtmak için
sdeğil-s değil
çaybardağına-çay bardağına
buzkalıbı-buz kalıbı
molacak-m olacak
intelmi-intel mi
minel-min el
aliarslan-ali arslan
yapri-ya pri
şebekeağı-şebeke ağı
uçakmoduna-uçak moduna
boşadam-boş adam
geridönmedi-geri dönmedi
açayı-aç ayı
talkşova-talk şova
dipboya-dip boya
üzerinedavutoğlu-üzerine davutoğlu
şeyeevet-şeye evet
atikalipaşa-atik alipaşa
ağabeykız-ağabey kız
başladımı-başladı mı
mevcutyönetimin-mevcut yönetimin
oluyordiye-oluyor diye
karile-kar ile
bebiz-be biz
öncebi-önce bi
sarıkantaron-sarı kantaron
sehirmi-sehir mi
flaşbellekteki-flaş bellekteki
ayrıcaiki-ayrıca iki
busorun-bu sorun
annebabaya-anne babaya
neyaptın-ne yaptın
trtyapımı-trt yapımı
kayaksever-kayak sever
siyahadam-siyah adam
steampunk-steam punk
tobbetu-tobb etu
ağzınıkapa-ağzını kapa
istanbulamı-istanbula mı
bakanlığıve-bakanlığı ve
havuzkenarı-havuz kenarı
yapsabile-yapsa bile
istememdedi-istemem dedi
kızlargibi-kızlar gibi
kesikveya-kesik veya
lukiçin-luk için
yokben-yok ben
coltmu-colt mu
avrupabu-avrupa bu
aldatıyormuymuş-aldatıyor muymuş
kingjames-king james
cumapazarı-cuma pazarı
tarafabakın-tarafa bakın
binoy-bin oy
tarafageçin-tarafa geçin
andabirden-anda birden
yüksekses-yüksek ses
entrymi-entry mi
maviköşe-mavi köşe
sülüklügöle-sülüklü göle
kalçalarıvar-kalçaları var
antepevlerinin-antep evlerinin
garkolduğu-gark olduğu
anben-an ben
herhaldebu-herhalde bu
yanidemek-yani demek
allahamı-allaha mı
problemlibir-problemli bir
elfreni-el freni
yoksadece-yok sadece
miyimdiye-miyim diye
hamidreza-hamid reza
showtvnin-show tvnin
annebabalarının-anne babalarının
nihao-ni hao
göbeküstü-göbek üstü
demiriçin-demir için
kimnerede-kim nerede
seningibilerin-senin gibilerin
usbhdd-usb hdd
ankakuşları-anka kuşları
yinebiz-yine biz
motorsporlarında-motor sporlarında
siyahbeyazlılarda-siyah beyazlılarda
nowhere-now here
alitekin-ali tekin
takımadavet-takıma davet
kardeşiniseç-kardeşini seç
ajansınınhaberine-ajansının haberine
asmaçatı-asma çatı
öndeğerlendirme-ön değerlendirme
kenmi-ken mi
eşşekmiyiz-eşşek miyiz
olaybudur-olay budur
centve-cent ve
yapıyorki-yapıyor ki
geceyarısıgüneşi-geceyarısı güneşi
dışındahepsi-dışında hepsi
benise-ben ise
vahdedi-vah dedi
incirağacından-incir ağacından
vesonra-ve sonra
cevizmi-ceviz mi
sağelin-sağ elin
mezarkazıcı-mezar kazıcı
işlemciiyi-işlemci iyi
minha-min ha
kimlan-kim lan
sengibi-sen gibi
genelkurmaybaşkanının-genelkurmay başkanının
bennymi-benny mi
göteden-göt eden
motorlutaşıt-motorlu taşıt
kezilk-kez ilk
filoamirali-filo amirali
kesinbi-kesin bi
imamıngülü-imamın gülü
olurmusunuz-olur musunuz
tatketçap-tat ketçap
arkataraf-arka taraf
yılaynı-yıl aynı
haberimyokmuş-haberim yokmuş
cihanhaber-cihan haber
intek-in tek
toplartoplamaz-toplar toplamaz
başıaçıklar-başı açıklar
gerektiğinisöyle-gerektiğini söyle
millikütüphane-milli kütüphane
daylight-day light
yaylaevi-yayla evi
sevgilimdiyor-sevgilim diyor
eleele-ele ele
ethembeyin-ethem beyin
şansınıelde-şansını elde
banabi-bana bi
sürgüncezasına-sürgün cezasına
vaadedici-vaad edici
goldenshot-golden shot
karadüzen-kara düzen
adamvardı-adam vardı
kararvermiştim-karar vermiştim
gdata-g data
hazetmezler-haz etmezler
durgungöl-durgun göl
teslimedildiği-teslim edildiği
hasbingöl-has bingöl
sehercan-seher can
atlamı-atla mı
etmezmi-etmez mi
bıtek-bı tek
örgütadına-örgüt adına
evetdoğru-evet doğru
kendinesaygısı-kendine saygısı
bekleyenaile-bekleyen aile
neresindeyapılıyor-neresinde yapılıyor
saatiylegece-saatiyle gece
çaybardağını-çay bardağını
bullrun-bull run
namile-nam ile
iremrecords-irem records
çılgınkız-çılgın kız
sizenasıl-size nasıl
afdileyen-af dileyen
kadıasker-kadı asker
beniiyi-beni iyi
stclair-st clair
paşatürbesi-paşa türbesi
değilsinsadece-değilsin sadece
vanilinin-van ilinin
avrupaşampiyonasında-avrupa şampiyonasında
varkentek-varken tek
öldümü-öldü mü
kesinliklekatılıyorum-kesinlikle katılıyorum
yüzümgözüm-yüzüm gözüm
serçeve-serçe ve
demişbir-demiş bir
cicikıs-cici kıs
yaaaaçok-yaaaa çok
koşullarıve-koşulları ve
seslekitap-sesle kitap
intam-in tam
sundubu-sundu bu
suratmı-surat mı
denemebu-deneme bu
realtime-real time
yüzmilyar-yüz milyar
elininkolunu-elinin kolunu
kusurakalma-kusura kalma
biçerve-biçer ve
degilmiydi-degil miydi
bugüniçin-bugün için
piyasadışı-piyasa dışı
dışborcun-dış borcun
habermi-haber mi
ytlciro-ytl ciro
lafettirmem-laf ettirmem
geyikböcekleri-geyik böcekleri
savaşuçağı-savaş uçağı
çokuygun-çok uygun
duvarlarınasıl-duvarları nasıl
samshik-sam shik
meraklımelahat-meraklı melahat
teleskopolarak-teleskop olarak
terörüçok-terörü çok
storeperde-store perde
korkunçbiçimde-korkunç biçimde
türkiyeyemi-türkiyeye mi
kaldemek-kal demek
cinperi-cin peri
insanlarsenin-insanlar senin
verilerinegöre-verilerine göre
binsuriyeli-bin suriyeli
kamuspotu-kamu spotu
bayıldımyaaa-bayıldım yaaa
uluskavramını-ulus kavramını
lopezfernandez-lopez fernandez
dönersermayesine-döner sermayesine
ilkeldünya-ilkel dünya
kuruluşlarındesteğiyle-kuruluşların desteğiyle
özeltim-özel tim
kıdemtazminatı-kıdem tazminatı
ryanbingham-ryan bingham
alevisünni-alevi sünni
inşallahseneye-inşallah seneye
geertwilders-geert wilders
evamı-eva mı
bizimderdimiz-bizim derdimiz
ortayaçıkardı-ortaya çıkardı
cinselliksadece-cinsellik sadece
dehlizlerindekaybolmasına-dehlizlerinde kaybolmasına
zeustüm-zeus tüm
içintürkiye-için türkiye
gocart-go cart
boynukısa-boynu kısa
mavikırmızı-mavi kırmızı
enmodern-en modern
kingütmez-kin gütmez
bilinmeliki-bilinmeli ki
rtpls-rt pls
takımiçi-takım içi
üçebeş-üçe beş
bloodstone-blood stone
bozoldu-boz oldu
özürdilenecek-özür dilenecek
filemaker-file maker
dünyadevleti-dünya devleti
greentea-green tea
güneşbatarken-güneş batarken
genelmerkezi-genel merkezi
evetçünkü-evet çünkü
elibağlı-eli bağlı
şirketlerile-şirketler ile
gideriken-gider iken
cindycampbell-cindy campbell
güvenlikiçin-güvenlik için
tesadüfmü-tesadüf mü
giral-gir al
belgesideğil-belgesi değil
mıböyle-mı böyle
sanikonukoğlu-sani konukoğlu
keskinkokulu-keskin kokulu
adslkota-adsl kota
ıkarusidi-ıkarus idi
eksikveya-eksik veya
ahuahu-ahu ahu
söylemededi-söyleme dedi
bugüntam-bugün tam
gecehava-gece hava
tatvanspor-tatvan spor
kapalıkale-kapalı kale
softtop-soft top
tövbeyarabbim-tövbe yarabbim
yuiyi-yu iyi
busorunu-bu sorunu
güçkuvvet-güç kuvvet
tanise-tan ise
milyonlarcadolar-milyonlarca dolar
bizimevde-bizim evde
durdedi-dur dedi
ankaralılarmı-ankaralılar mı
kaçkatı-kaç katı
tenissever-tenis sever
kısafilmi-kısa filmi
osbirçekiyorum-osbir çekiyorum
bıyüzden-bı yüzden
vereceğimdedi-vereceğim dedi
üzerindeolumlu-üzerinde olumlu
ajansındayer-ajansında yer
üstkattan-üst kattan
deathwatch-death watch
toplanankomisyon-toplanan komisyon
jacqueshenri-jacques henri
olmakbu-olmak bu
heraldediye-heralde diye
yolculukiçin-yolculuk için
büferestoran-büfe restoran
rickonu-rick onu
orhancami-orhan cami
kadargeniş-kadar geniş
kıyaset-kıyas et
geldikdiye-geldik diye
sapıkkatillerin-sapık katillerin
şoketti-şok etti
btakımı-b takımı
asliolan-asli olan
antikkenti-antik kenti
ağcakaya-ağca kaya
sadribaşkanın-sadri başkanın
ölçüleriyok-ölçüleri yok
ortakapı-orta kapı
nazıroğlu-nazır oğlu
iyiseyirler-iyi seyirler
zırtdiyor-zırt diyor
makaiyi-maka iyi
otuzaltıncı-otuz altıncı
anböyle-an böyle
sonrabile-sonra bile
rahatbi-rahat bi
ulukişi-ulu kişi
polismemuruna-polis memuruna
beadam-be adam
üçkuruşluk-üç kuruşluk
atabak-ata bak
donggun-dong gun
toplumezarları-toplu mezarları
rahatsızetti-rahatsız etti
atlantismi-atlantis mi
korkuyorumve-korkuyorum ve
vartabii-var tabii
beylikdüzüspor-beylikdüzü spor
darbant-dar bant
yaniherkes-yani herkes
eminolmayan-emin olmayan
subasan-su basan
ölünceyekadar-ölünceye kadar
bebekkatilleri-bebek katilleri
özürdileyecekler-özür dileyecekler
banabu-bana bu
osmandevelioğlu-osman develioğlu
kurubaklagillerin-kuru baklagillerin
anneminannesi-annemin annesi
otobusmu-otobus mu
grammymi-grammy mi
bdparasında-bdp arasında
kelkafalı-kel kafalı
asahip-a sahip
jinlong-jin long
popkültürün-pop kültürün
içdünyasında-iç dünyasında
sevgiyolunda-sevgi yolunda
çokyakında-çok yakında
kepenkaçamadı-kepenk açamadı
insideout-inside out
tasarımbienali-tasarım bienali
biradam-bir adam
istanbulistanbul-istanbul istanbul
msjmı-msj mı
götbeyinli-göt beyinli
offame-of fame
eticaret-e ticaret
başkabaşka-başka başka
abdülhamithana-abdülhamit hana
gitgeller-git geller
sanalpazar-sanal pazar
arkadaşlarınbunu-arkadaşların bunu
yıldırdüzenlenen-yıldır düzenlenen
adaylarkim-adaylar kim
yavrukaplan-yavru kaplan
bakıcıanne-bakıcı anne
inşallahyine-inşallah yine
hafifbi-hafif bi
biletal-bilet al
klasiktürk-klasik türk
diyebir-diye bir
gitmeküzere-gitmek üzere
lifenews-life news
bayanyanı-bayan yanı
showbaşlıyor-show başlıyor
makinesiile-makinesi ile
taçile-taç ile
kızılkafalı-kızıl kafalı
biriçocuk-biri çocuk
barisicin-baris icin
dilbirliği-dil birliği
kürtleremi-kürtlere mi
zenginerkek-zengin erkek
gerial-geri al
günher-gün her
dışgüçlere-dış güçlere
arısokan-arı sokan
acgözlü-ac gözlü
edeğil-e değil
fanise-fan ise
beniilk-beni ilk
karamayınlarının-kara mayınlarının
eededim-ee dedim
olmamakdemektir-olmamak demektir
ııinci-ıı inci
manray-man ray
gözkırpma-göz kırpma
benyanlış-ben yanlış
akıllıtv-akıllı tv
olgunçelik-olgun çelik
thücrelerini-t hücrelerini
devletiniyıkarak-devletini yıkarak
senhep-sen hep
kurulmazmı-kurulmaz mı
cümleve-cümle ve
markbeni-mark beni
radyotrafik-radyo trafik
yertutan-yer tutan
aslaasla-asla asla
açıköğretimfakültesi-açıköğretim fakültesi
ödeizle-öde izle
agiden-a giden
theatlantic-the atlantic
meyvesuyuyla-meyve suyuyla
bekleyinçok-bekleyin çok
petiçin-pet için
kabakkafalı-kabak kafalı
ortasahada-orta sahada
nişancıpaşa-nişancı paşa
çığlıkçığlığa-çığlık çığlığa
cafesiyaset-cafe siyaset
hemenönce-hemen önce
gkuvveti-g kuvveti
cumasabah-cuma sabah
senigidi-seni gidi
nükleerpatlama-nükleer patlama
sarıkanaryalar-sarı kanaryalar
bıraraya-bır araya
üçyılın-üç yılın
biproblem-bi problem
sestanıma-ses tanıma
moondust-moon dust
gücüeline-gücü eline
canavaryarattım-canavar yarattım
edevlette-e devlette
karloskar-karl oskar
havasoğuk-hava soğuk
gazlıbezi-gazlı bezi
kobile-kob ile
yapdedim-yap dedim
gazlıbeze-gazlı beze
öğrencilerdenbiri-öğrencilerden biri
ilerisiiçin-ilerisi için
yapısıiyi-yapısı iyi
yakasıbatı-yakası batı
esselam-es selam
önkoltuk-ön koltuk
elatın-el atın
finansyatırım-finans yatırım
dedave-deda ve
michaelve-michael ve
havadurumunu-hava durumunu
bilsinlerki-bilsinler ki
olarakbüyük-olarak büyük
ülküocağı-ülkü ocağı
aranıyorilanı-aranıyor ilanı
canavaradam-canavar adam
yolayrımına-yol ayrımına
sacteli-sac teli
onunyerini-onun yerini
havadurumuna-hava durumuna
küfüredenleri-küfür edenleri
atabir-ata bir
canibaşıyla-cani başıyla
bokyiyen-bok yiyen
nedirki-nedir ki
cbnını-cb nını
çolukçocuğun-çoluk çocuğun
akankanın-akan kanın
kadroşu-kadro şu
yaraaçar-yara açar
özgürdeğildir-özgür değildir
onlinepazarlama-online pazarlama
herşeyibilirim-herşeyi bilirim
küçükkardeş-küçük kardeş
kızılkahve-kızıl kahve
selmanağa-selman ağa
haberverdiler-haber verdiler
çenesuyuna-çene suyuna
çaldiye-çal diye
safranboluspor-safranbolu spor
harikabişey-harika bişey
darksaga-dark saga
arçelikmi-arçelik mi
düğümolur-düğüm olur
lauralouise-laura louise
youcame-you came
ekstraekstra-ekstra ekstra
hdpkklıların-hdpkk lıların
dibir-di bir
gibisadece-gibi sadece
nasipdemiş-nasip demiş
rdaha-r daha
sonhali-son hali
istediğimiçin-istediğim için
danadili-dana dili
öğrenimgörme-öğrenim görme
yaradeğil-yara değil
sanırımtek-sanırım tek
araöğünler-ara öğünler
uluağaç-ulu ağaç
izmirdemi-izmirde mi
gördüğümyerde-gördüğüm yerde
tepeüstüne-tepe üstüne
montajelemanı-montaj elemanı
tamon-tam on
kapagözünü-kapa gözünü
tamamdeyip-tamam deyip
ırkmı-ırk mı
potaaltındaki-pota altındaki
güzbaharı-güz baharı
burasınınneresi-burasının neresi
ovakule-ova kule
köşetaşlarını-köşe taşlarını
dışpazarlara-dış pazarlara
adaletgibi-adalet gibi
olmanındeğil-olmanın değil
ellerimkirli-ellerim kirli
türkile-türk ile
bonustrack-bonus track
yardımedersen-yardım edersen
metamalzemeler-meta malzemeler
tuşkilidinin-tuş kilidinin
dakötü-da kötü
teyzeoğluna-teyze oğluna
çaldıdiye-çaldı diye
buradayok-burada yok
çokpara-çok para
oyçoğunluğu-oy çoğunluğu
arthouse-art house
gitmemlazım-gitmem lazım
inandırmakdeğil-inandırmak değil
nasılsındiye-nasılsın diye
çocukbezi-çocuk bezi
çiçeksepeti-çiçek sepeti
açıkalanda-açık alanda
sadecesen-sadece sen
varlığıve-varlığı ve
gsmarena-gsm arena
keldağı-kel dağı
ortasahayı-orta sahayı
grupmaçında-grup maçında
büyüve-büyü ve
kızlararasında-kızlar arasında
göziçi-göz içi
yoluile-yolu ile
bernardmı-bernard mı
sonuçlarınıizlemek-sonuçlarını izlemek
arapası-ara pası
whove-who ve
hakvar-hak var
nuiyi-nu iyi
artniyetlisiniz-art niyetlisiniz
gaymı-gay mı
metroyapılacak-metro yapılacak
faşistdemek-faşist demek
annebabadan-anne babadan
showtürk-show türk
çıkarlariçin-çıkarlar için
amireve-amire ve
üstkatın-üst katın
kgsmi-kgs mi
akıntıburnunda-akıntı burnunda
yarargibi-yarar gibi
birşehir-bir şehir
yetmişikinci-yetmiş ikinci
homerun-home run
kendiişlerini-kendi işlerini
ucuaçık-ucu açık
tuvaletegitmeliyim-tuvalete gitmeliyim
dünsaat-dün saat
çokpahalı-çok pahalı
bizbüyük-biz büyük
tercihettiği-tercih ettiği
emsile-ems ile
amagerçek-ama gerçek
haruncan-harun can
harddrive-hard drive
panikyapmaması-panik yapmaması
israilmi-israil mi
sevenhill-seven hill
dalgageçtim-dalga geçtim
alıpsatmak-alıp satmak
edirneşehir-edirne şehir
çünküona-çünkü ona
özgüvenyok-özgüven yok
arkasayfa-arka sayfa
mıpeki-mı peki
osmanlıimparatorluğunu-osmanlı imparatorluğunu
içindeyaklaşık-içinde yaklaşık
doğrayınve-doğrayın ve
thehouse-the house
yerinebaşka-yerine başka
olduğunabağlı-olduğuna bağlı
yolaçarken-yol açarken
falanbi-falan bi
öncamın-ön camın
insanlarvarsa-insanlar varsa
olmuyormu-olmuyor mu
umile-um ile
başaçık-baş açık
xxxxx-xxx xx
kibenim-ki benim
şeymi-şey mi
farklıolduğunu-farklı olduğunu
bimmi-bim mi
korkunçolur-korkunç olur
eeepad-eee pad
ovakorusu-ova korusu
başkanıramazan-başkanı ramazan
berberiçin-berber için
sütçüimamın-sütçü imamın
kulekonaklar-kule konaklar
yılbaşıgecesi-yılbaşı gecesi
girişkat-giriş kat
gününükutlarım-gününü kutlarım
sakınağlama-sakın ağlama
reelpolitiğin-reel politiğin
seslisohbet-sesli sohbet
sadecebeni-sadece beni
burakiyi-burak iyi
yenişeyler-yeni şeyler
pekçok-pek çok
sarımsaklımayonez-sarımsaklı mayonez
antikahramanlar-anti kahramanlar
olmasıiyi-olması iyi
çadırkentlerden-çadır kentlerden
gönderdidiye-gönderdi diye
bolubeyi-bolu beyi
tenisseverler-tenis severler
hürdoğar-hür doğar
cemaatlermi-cemaatler mi
geçirmekmi-geçirmek mi
jimmymi-jimmy mi
—içel-— içel
şeylerbir-şeyler bir
mustafacan-mustafa can
millenniumbank-millennium bank
süzüldüve-süzüldü ve
sanalmarket-sanal market
gardenlife-garden life
polislervar-polisler var
güneydoğuanadolunun-güneydoğu anadolunun
taşocakçılığı-taş ocakçılığı
bendeistiyorum-bende istiyorum
kralkaya-kral kaya
tekrarbirlikte-tekrar birlikte
hızlıtramvay-hızlı tramvay
olanlarbüyük-olanlar büyük
olsunyeter-olsun yeter
attyim-att yim
suçluhissediyor-suçlu hissediyor
hahaharika-haha harika
gibiama-gibi ama
kuvvetlerarası-kuvvetler arası
hiçbiryerde-hiçbir yerde
bısey-bı sey
kurtulmakiçin-kurtulmak için
kaşkara-kaş kara
youalways-you always
dimartino-di martino
kabakoyarak-kaba koyarak
bayernlb-bayern lb
atdiye-at diye
benial-beni al
gözleringüzel-gözlerin güzel
liveupdate-live update
dışpazarlarda-dış pazarlarda
kağıtkesiği-kağıt kesiği
birseçim-bir seçim
yüzübu-yüzü bu
sonraistanbul-sonra istanbul
paramaz-param az
bimaş-bim aş
raymi-ray mi
sonbuldu-son buldu
çocukyapın-çocuk yapın
imeimi-imei mi
sinircerrahı-sinir cerrahı
robinmi-robin mi
içinbile-için bile
cardalmak-card almak
alımaz-alım az
sennasılsın-sen nasılsın
açarımdiyor-açarım diyor
alırıza-alı rıza
beyfendimi-beyfendi mi
hükümetiistifa-hükümeti istifa
genelbaşkanın-genel başkanın
kadarbaşarılı-kadar başarılı
namjoo-nam joo
derlenenbilgilere-derlenen bilgilere
ozamanda-o zamanda
yeşilmavi-yeşil mavi
takımlararası-takımlar arası
çıkmalarıgerektiğini-çıkmaları gerektiğini
cumhurreisimiz-cumhur reisimiz
nişanlımmı-nişanlım mı
cokilginc-cok ilginc
deviş-dev iş
istanbuliçin-istanbul için
mısizce-mı sizce
gaymi-gay mi
